label,verdict,scenario,speed,corridor_width,sensor_noise,start_heading_deg,obstacle_x,obstacle_y,max_time,completion_time,min_clearance,goal_reached,collision,left_arena,timed_out,path_length,final_distance_to_goal,reason
BASE-01 default inputs,PASS,SINGLE_OBSTACLE,5.5,0.4,0.0,45.0,0.0,0.0,30.0,21.792,0.0896,True,False,False,False,2.3491,0.0999,All requirements satisfied.
"BASE-02 open field, default speed",PASS,OPEN_FIELD,5.5,0.4,0.0,45.0,0.0,0.0,30.0,19.744,0.153,True,False,False,False,2.1653,0.0986,All requirements satisfied.
EP-01 speed low partition,FAIL,OPEN_FIELD,1.5,0.4,0.0,45.0,0.0,0.0,30.0,30.0,0.153,False,False,False,True,0.8995,1.3632,REQ-1: Timed out after 30 s with 1.363 m still to go.
EP-02 speed mid partition,FAIL,OPEN_FIELD,3.5,0.4,0.0,45.0,0.0,0.0,30.0,30.0,0.153,False,False,False,True,2.0989,0.1639,REQ-1: Timed out after 30 s with 0.164 m still to go.
EP-03 speed high partition,PASS,OPEN_FIELD,5.5,0.4,0.0,45.0,0.0,0.0,30.0,19.744,0.153,True,False,False,False,2.1653,0.0986,All requirements satisfied.
BVA-speed-01 min legal,FAIL,OPEN_FIELD,0.5,0.4,0.0,45.0,0.0,0.0,30.0,30.0,0.153,False,False,False,True,0.2998,1.9629,REQ-1: Timed out after 30 s with 1.963 m still to go.
BVA-speed-02 3.6,FAIL,OPEN_FIELD,3.6,0.4,0.0,45.0,0.0,0.0,30.0,30.0,0.153,False,False,False,True,2.1573,0.1064,REQ-1: Timed out after 30 s with 0.106 m still to go.
BVA-speed-03 3.8,PASS,OPEN_FIELD,3.8,0.4,0.0,45.0,0.0,0.0,30.0,28.544,0.153,True,False,False,False,2.1656,0.0992,All requirements satisfied.
BVA-speed-04 4.0,PASS,OPEN_FIELD,4.0,0.4,0.0,45.0,0.0,0.0,30.0,27.104,0.153,True,False,False,False,2.1647,0.0998,All requirements satisfied.
BVA-speed-05 4.2,PASS,OPEN_FIELD,4.2,0.4,0.0,45.0,0.0,0.0,30.0,25.824,0.153,True,False,False,False,2.1654,0.0992,All requirements satisfied.
BVA-speed-06 max legal,PASS,OPEN_FIELD,6.28,0.4,0.0,45.0,0.0,0.0,30.0,17.312,0.153,True,False,False,False,2.1636,0.0996,All requirements satisfied.
BVA-corr-01 0.15 min legal,FAIL,CORRIDOR,4.0,0.15,0.0,45.0,0.0,0.0,60.0,60.0,0.0667,False,False,False,True,4.4487,1.1469,REQ-1: Timed out after 60 s with 1.147 m still to go.
BVA-corr-02 0.25,FAIL,CORRIDOR,4.0,0.25,0.0,45.0,0.0,0.0,60.0,41.984,0.0039,True,False,False,False,3.2549,0.0998,"REQ-3: Minimum clearance 0.004 m at t = 24.02 s near WALL_A, below the required 0.03 m."
BVA-corr-03 0.30,FAIL,CORRIDOR,4.0,0.3,0.0,45.0,0.0,0.0,60.0,41.296,0.0083,True,False,False,False,3.2075,0.0995,"REQ-3: Minimum clearance 0.008 m at t = 23.87 s near WALL_A, below the required 0.03 m."
BVA-corr-04 0.35,FAIL,CORRIDOR,4.0,0.35,0.0,45.0,0.0,0.0,60.0,60.0,0.0098,False,False,False,True,4.4756,1.1493,"REQ-1: Timed out after 60 s with 1.149 m still to go.; REQ-3: Minimum clearance 0.010 m at t = 22.53 s near WALL_A, below the required 0.03 m."
BVA-corr-05 0.40,PASS,CORRIDOR,4.0,0.4,0.0,45.0,0.0,0.0,60.0,35.696,0.0537,True,False,False,False,2.8188,0.0995,All requirements satisfied.
BVA-corr-06 0.50,PASS,CORRIDOR,4.0,0.5,0.0,45.0,0.0,0.0,60.0,27.104,0.1221,True,False,False,False,2.1647,0.0998,All requirements satisfied.
BVA-corr-07 0.90 max legal,PASS,CORRIDOR,4.0,0.9,0.0,45.0,0.0,0.0,60.0,27.104,0.153,True,False,False,False,2.1647,0.0998,All requirements satisfied.
ROB-noise-01 clean,PASS,SINGLE_OBSTACLE,4.5,0.4,0.0,45.0,0.0,0.0,45.0,27.92,0.153,True,False,False,False,2.497,0.099,All requirements satisfied.
